id	name	full_name	manufacturer	origin	introduction_year	description	image_url
p-59	P-59 Airacomet	Bell P-59 Airacomet	Bell Aircraft	US	1944	Het allereerste Amerikaanse straalvliegtuig, voornamelijk gebruikt voor training en evaluatie.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/Bell%20P-59%20Airacomet.jpg&w=800&q=80
gloster-meteor	Gloster Meteor	Gloster Meteor	Gloster Aircraft Company	Europe	1944	De enige geallieerde jet die tijdens de Tweede Wereldoorlog operationele status bereikte.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/Gloster%20Meteor%20F.8%20being%20prepared%20for%20flight.jpg&w=800&q=80
p-80	P-80 Shooting Star	Lockheed P-80 Shooting Star	Lockheed	US	1945	De eerste succesvolle Amerikaanse operationele jet, ingezet in de Koreaanse Oorlog.	https://upload.wikimedia.org/wikipedia/commons/1/18/P80-1_300.jpg
vampire	DH.100 Vampire	de Havilland Vampire	de Havilland	Europe	1946	Een Britse jet met een unieke dubbele staartboom en een romp deels van hout.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/De%20Havilland%20Vampire%201.jpg&w=800&q=80
fh-1	FH-1 Phantom	McDonnell FH-1 Phantom	McDonnell Aircraft	US	1947	Het eerste straalvliegtuig dat vanaf een Amerikaans vliegdekschip opereerde.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/FH-1%20Phantom%20in%20flight%20in%20February%201948%20cropped.jpg&w=800&q=80
f-84	F-84 Thunderjet	Republic F-84 Thunderjet	Republic Aviation	US	1947	Een robuuste jachtbommenwerper die de ruggengraat vormde van vele vroege NAVO-luchtmachten.	https://upload.wikimedia.org/wikipedia/commons/b/bd/F-84E_of_9th_Fighter-Bomber_Squadron_in_Korea.jpg
f-86	F-86 Sabre	North American F-86 Sabre	North American Aviation	US	1949	De beroemde "Sabrejet", legendarisch door zijn luchtgevechten boven de "MiG Alley" in Korea.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/F-86%20Sabre%20in%20flight.jpg&w=800&q=80
saab-21r	Saab 21R	Saab 21R	Saab	Europe	1950	Zweeds toestel dat werd omgebouwd van zuigermotor naar straalmotor.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/Saab%2021R%203.jpg&w=800&q=80
saab-29	Saab 29 Tunnan	Saab 29 Tunnan	Saab	Europe	1951	Het "Vliegende Vat", de eerste naoorlogse Europese jet met pijlvleugels.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/Saab_J_29F_Tunnan_29670_SE-DXB_p%C3%A5_uppvisning_i_Karlstad_2025_(cropped).jpg&w=800&q=80
f-89	F-89 Scorpion	Northrop F-89 Scorpion	Northrop	US	1950	Een zware onderscheppingsjager voor alle weersomstandigheden, uitgerust met raketten.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/Northrop%20F-89J%20Scorpion.jpg&w=800&q=80
ouragan	MD.450 Ouragan	Dassault MD.450 Ouragan	Dassault	Europe	1952	De eerste in Frankrijk ontworpen straaljager die in serieproductie ging.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/Dassault%20Ouragan.jpg&w=800&q=80
f7u	F7U Cutlass	Vought F7U Cutlass	Vought	US	1951	Een onconventionele staartloze jet van de US Navy, bekend om zijn futuristische uiterlijk.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/F7U%20cutlass%201954.jpg&w=800&q=80
hunter	Hawker Hunter	Hawker Hunter	Hawker Siddeley	Europe	1954	Een van de meest elegante en succesvolle Britse straaljagers ooit gebouwd.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/Hunter_-_Shuttleworth_Military_Pageant_June_2013_(9187713516).jpg&w=800&q=80
f-100	F-100 Super Sabre	North American F-100 Super Sabre	North American Aviation	US	1954	De eerste van de "Century Series", de eerste US jager die supersonisch ging in horizontale vlucht.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/F-100_Airventure_2015.jpg&w=800&q=80
mystere-iv	Mystère IV	Dassault Mystère IV	Dassault	Europe	1955	Een Franse jachtbommenwerper die grote successen kende in diverse conflicten.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/Dassault%20Myst%C3%A8re%20IV.jpg&w=800&q=80
f-101	F-101 Voodoo	McDonnell F-101 Voodoo	McDonnell Aircraft	US	1954	Oorspronkelijk ontworpen als escortjager voor lange afstand, later een krachtige interceptor.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/F-101B_New_York_ANG_in_flight_1978.jpeg&w=800&q=80
f-102	F-102 Delta Dagger	Convair F-102 Delta Dagger	Convair	US	1956	De eerste delta-vleugel interceptor van de USAF voor alle weersomstandigheden.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/Convair_YF-102_FC-782.jpg&w=800&q=80
super-mystere	Super Mystère	Dassault Super Mystère B2	Dassault	Europe	1957	De eerste West-Europese jet die supersonisch kon vliegen in horizontale vlucht.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/Dassault%20Super%20Myst%C3%A8re%20B2.jpg&w=800&q=80
f-8	F-8 Crusader	Vought F-8 Crusader	Vought	US	1957	Bekend als de "Last of the Gunfighters", de laatste US jager met kanonnen als primair wapen.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/Vought%20F-8%20Crusader%202.JPG&w=800&q=80
f-104	F-104 Starfighter	Lockheed F-104 Starfighter	Lockheed	US	1958	De "Missile with a Man in It", beroemd om zijn snelheid en slanke ontwerp.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/Lockheed%20F-104%20Starfighter.jpg&w=800&q=80
f-105	F-105 Thunderchief	Republic F-105 Thunderchief	Republic Aviation	US	1958	De "Thud", een massieve supersonische jachtbommenwerper die intensief werd gebruikt in Vietnam.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/Republic%20F-105%20Thunderchief%20-%20Vietnam%20War%201966.jpg&w=800&q=80
g-91	Fiat G.91	Fiat G.91	Fiat Aviazione	Europe	1958	De winnaar van de NAVO-competitie voor een lichte tactische jager.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/FIAT%20G-91%20PAN.jpg&w=800&q=80
lightning	EE Lightning	English Electric Lightning	English Electric	Europe	1959	Een iconische Britse interceptor met unieke verticaal gestapelde motoren.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/English%20Electric%20Lightning%20F6%2C%20UK%20-%20Air%20Force%20AN1409778.jpg&w=800&q=80
f-106	F-106 Delta Dart	Convair F-106 Delta Dart	Convair	US	1959	Beschouwd als de ultieme interceptor van de USAF, met een zeer hoge topsnelheid.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/F-106A_Chase_Dart.JPEG&w=800&q=80
f-4	F-4 Phantom II	McDonnell Douglas F-4 Phantom II	McDonnell Douglas	US	1960	Een legendarische multi-role jager die diende bij de Navy, Air Force en vele bondgenoten.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/F-4D%20Phantom%20II.jpg&w=800&q=80
draken	Saab 35 Draken	Saab 35 Draken	Saab	Europe	1960	Een Zweeds meesterwerk met een dubbele delta-vleugel, gebouwd voor snelheid en wendbaarheid.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/Saab%2035%20Draken.jpg&w=800&q=80
mirage-iii	Mirage III	Dassault Mirage III	Dassault	Europe	1961	Een van de meest succesvolle export-jagers ter wereld, symbool van de Franse luchtvaart.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/Mirage%20III%206.JPEG&w=800&q=80
f-5	F-5 Freedom Fighter	Northrop F-5 Freedom Fighter	Northrop	US	1962	Een compacte, goedkope en zeer effectieve lichte jager voor internationale bondgenoten.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/3039%2C_AFB_Volkel_(NL)%2C_NF-5A_Freedom_Fighter%2C_Turkey%2C_Turkish_Stars_P1010236.jpg&w=800&q=80
f-111	F-111 Aardvark	General Dynamics F-111 Aardvark	General Dynamics	US	1967	De pionier van de zwenkvleugel-technologie en krachtige precisie-bombardementen.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/AFR_F-111_air_to_air_refueling.jpg&w=800&q=80
harrier	Harrier	Hawker Siddeley Harrier	Hawker Siddeley	Europe	1969	De wereldberoemde "Jump Jet", in staat tot verticaal opstijgen en landen (VTOL).	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/Spanish_Hawker_Siddeley_AV-8S_Matador_in_flight_over_the_Mediterranean_Sea%2C_1_June_1988_(6430231).jpg&w=800&q=80
viggen	Saab 37 Viggen	Saab 37 Viggen	Saab	Europe	1971	Een krachtige Zweedse jager met canard-vleugels en een indrukwekkend STOL-vermogen.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/Saab%2037%20Viggen%2037301%20001.jpg&w=800&q=80
mirage-f1	Mirage F1	Dassault Mirage F1	Dassault	Europe	1973	Een Franse jager die terugkeerde naar een conventionele pijlvleugel voor betere handling op lage snelheid.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/French_Air_Force_Mirage_F1_returns_to_it's_mission_after_receiving_fuel_from_a_KC-10_Extender.jpg&w=800&q=80
f-14	F-14 Tomcat	Grumman F-14 Tomcat	Grumman	US	1974	De zware onderscheppingsjager van de Navy met zwenkvleugels, beroemd uit de film Top Gun.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/Grumman%20F-14%20Tomcat%202.JPG&w=800&q=80
f-15	F-15 Eagle	McDonnell Douglas F-15 Eagle	McDonnell Douglas	US	1976	Onbetwiste koning van het luchtruim met meer dan 100 overwinningen en 0 nederlagen in gevecht.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/F-15C_Eagle_from_the_44th_Fighter_Squadron_flies_during_a_routine_training_exercise_April_15%2C_2019.jpg&w=800&q=80
f-16	F-16 Fighting Falcon	General Dynamics F-16 Fighting Falcon	General Dynamics	US	1978	De wendbare "Viper", nog steeds een van de meest gebruikte jagers ter wereld.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/F-16%20Fighting%20Falcon.jpg&w=800&q=80
etendard	Super Étendard	Dassault Super Étendard	Dassault	Europe	1978	Een Franse aanvalsjager voor vliegdekschepen, beroemd om zijn Exocet raketten.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/Dassault%20Super%20Etendard%2C%20France%20-%20Air%20Force%20JP7619285.jpg&w=800&q=80
tornado	Panavia Tornado	Panavia Tornado IDS	Panavia	Europe	1979	Een gezamenlijk Europees project voor een zwenkvleugel aanvalsjager voor alle weersomstandigheden.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/Panavia%20Tornado%20USAF.jpg&w=800&q=80
sea-harrier	Sea Harrier	BAE Sea Harrier	BAE Systems	Europe	1980	De marineversie van de Harrier, held van de Fokkerlandoorlog.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/BAe%20Sea%20Harrier%20FA2.JPG&w=800&q=80
f-18	F/A-18 Hornet	McDonnell Douglas F/A-18 Hornet	McDonnell Douglas	US	1983	Een veelzijdige jager en aanvalsvliegtuig, ruggengraat van de moderne US Navy.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/Swiss%20FA-18%20Hornet.jpg&w=800&q=80
f-117	F-117 Nighthawk	Lockheed F-117 Nighthawk	Lockheed	US	1983	De eerste operationele stealth-jager ter wereld, ontworpen om onzichtbaar te blijven voor radar.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/Lockheed%20F-117A%20Nighthawk%20USAF.jpg&w=800&q=80
mirage-2000	Mirage 2000	Dassault Mirage 2000	Dassault	Europe	1984	Een hoogtechnologische opvolger van de Mirage III met uitstekende klimprestaties.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/Dassault%20Mirage%202000.jpg&w=800&q=80
amx	AMX	AMX International AMX	AMX International	Europe	1989	Een gezamenlijk Italiaans-Braziliaans project voor grondsteun en verkenning.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/Alenia-Aermacchi-Embraer_AMX%2C_Italy_-_Air_Force_JP7721735.jpg&w=800&q=80
gripen	JAS 39 Gripen	Saab JAS 39 Gripen	Saab	Europe	1996	Een ultra-modern, multifunctioneel gevechtsvliegtuig uit Zweden.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/Saab%20JAS%2039%20Gripen%2039-2%20002.jpg&w=800&q=80
super-hornet	F/A-18E Super Hornet	Boeing F/A-18E/F Super Hornet	Boeing	US	1999	Een aanzienlijk grotere en modernere versie van de oorspronkelijke Hornet.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/McDonnell%20Douglas%20FA-18F%20Super%20Hornet.jpg&w=800&q=80
rafale	Dassault Rafale	Dassault Rafale	Dassault	Europe	2001	De omnirole-jager van Frankrijk, in staat tot nagenoeg elke gevechtsmissie.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/Rafale_-_RIAT_2009_(3751416421).jpg&w=800&q=80
typhoon	Eurofighter Typhoon	Eurofighter Typhoon	Eurofighter GmbH	Europe	2003	Een zeer wendbare multi-role jager, ontwikkeld door vier Europese naties.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/RAF%20Eurofighter%20Typhoon.jpg&w=800&q=80
f-22	F-22 Raptor	Lockheed Martin F-22 Raptor	Lockheed Martin	US	2005	De eerste vijfde-generatie jager, onverslaanbaar in stealth en luchtmanoeuvrabiliteit.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/Lockheed%20Martin%20F-22.jpg&w=800&q=80
f-35	F-35 Lightning II	Lockheed Martin F-35 Lightning II	Lockheed Martin	US	2015	De modernste multi-role stealth-jager, ontworpen om de ruggengraat van vele luchtmachten te worden.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/F-35%20Lightning%20II.jpg&w=800&q=80